group,group_field,classic_part1,link_joker_legion_mate,g_series_first,g_next_z,v_reboot,v_shinemon_if,d_overdress,d_willdress,dz_divinez
Unknown,unknown,0,0,0,0,0,17,0,23,0
คาเงโร่,clan,229,1283,293,72,284,27,11,0,0
ชาโดว์ พาลาดิน,clan,77,803,398,864,488,262,11,0,0
ซู,nation,0,0,0,0,0,0,0,0,0
ดราก้อนเอมไพร์,nation,0,0,0,0,0,0,966,805,0
ดาร์ค อิลเรกูลาร์ส,clan,133,14,312,126,155,10,0,0,0
ดาร์คสเตทส์,nation,0,0,0,0,0,0,826,1028,0
ดาร์คโซน,nation,0,0,0,0,0,0,0,0,0
ทาจิคาเสะ,clan,224,158,149,131,11,35,0,0,0
นารุคามิ,clan,143,751,138,114,94,46,0,0,0
นุบาทามะ,clan,0,2,88,315,60,195,0,0,0
บรันท์เกต,nation,0,0,0,0,0,0,460,686,0
มาร์คเกอร์,nation,0,0,0,0,0,0,0,0,0
มุราคุโมะ,clan,276,23,403,255,339,105,0,0,0
ยูไนเต็ทแซงทัวรี่,nation,0,0,0,0,0,0,0,0,0
รอยัล พาลาดิน,clan,441,999,1024,845,551,136,7,0,0
ลิงค์โจ๊กเกอร์,clan,0,861,307,184,175,22,0,17,0
ลิริคัลโมนาสเทริโอ้,nation,0,0,0,0,0,0,1288,1636,0
สตาร์เกท,nation,0,0,0,0,0,0,0,0,0
สโตยเคีย,nation,0,0,0,0,0,0,719,1380,0
สไปค์ บราเธอร์ส,clan,110,170,145,204,178,44,0,0,0
อควอฟอร์ซ,clan,121,836,999,403,120,141,0,0,0
เกรท เนเจอร์,clan,568,10,247,65,31,87,0,0,0
เกียร์โครนิเคิล,clan,0,0,3155,576,21,241,0,44,0
เครย์เอเลเมนทัล,clan,0,0,4,1,0,4,0,0,0
เคเทอร์แซงค์ทัวรี,nation,0,0,0,0,0,0,670,838,0
เจเนซิส,clan,0,1052,248,292,14,179,0,0,0
เนโอ เนคต้า,clan,392,163,1208,743,34,176,0,0,0
เบอร์มิวด้า ไทรแองเกิล,clan,69,2179,1531,2133,148,688,0,0,0
เพลมูน,clan,402,126,587,187,344,63,0,0,0
เมกาลานิก้า,nation,0,0,0,0,0,0,0,0,0
เมก้าโคโลนี่,clan,114,38,175,0,44,95,0,0,0
แกรนบลู,clan,153,56,319,140,136,108,0,0,0
แองเจิล ฟิทเธอร์,clan,112,26,216,106,18,241,0,0,0
โกลด์ พาลาดิน,clan,847,2006,481,48,165,176,0,0,0
โนว่า เกรปเปอร์,clan,1326,827,328,69,263,140,0,0,0
โอราเคิล ทิงค์ แทงค์,clan,875,89,187,249,490,8,0,0,0
ไดเมนชั่น โพลิส,clan,234,173,68,59,103,74,0,0,0
