group,group_field,classic_part1,link_joker_legion_mate,g_series_first,g_next_z,v_reboot,v_shinemon_if,d_overdress,d_willdress,dz_divinez
Unknown,unknown,0,0,0,0,0,180,0,179,0
คาเงโร่,clan,199,237,175,121,273,129,83,0,0
ชาโดว์ พาลาดิน,clan,268,276,292,167,280,183,151,0,0
ซู,nation,0,0,0,0,0,0,0,0,0
ดราก้อนเอมไพร์,nation,0,0,0,0,0,0,200,180,0
ดาร์ค อิลเรกูลาร์ส,clan,146,149,215,98,225,89,0,0,0
ดาร์คสเตทส์,nation,0,0,0,0,0,0,174,257,0
ดาร์คโซน,nation,0,0,0,0,0,0,0,0,0
ทาจิคาเสะ,clan,310,208,183,112,228,108,0,0,0
นารุคามิ,clan,146,163,166,126,142,218,0,0,0
นุบาทามะ,clan,0,62,188,135,122,188,0,0,0
บรันท์เกต,nation,0,0,0,0,0,0,158,190,0
มาร์คเกอร์,nation,0,0,0,0,0,0,0,0,0
มุราคุโมะ,clan,279,156,159,156,200,190,0,0,0
ยูไนเต็ทแซงทัวรี่,nation,0,0,0,0,0,0,0,0,0
รอยัล พาลาดิน,clan,207,306,207,242,276,170,255,0,0
ลิงค์โจ๊กเกอร์,clan,0,364,133,110,181,96,0,155,0
ลิริคัลโมนาสเทริโอ้,nation,0,0,0,0,0,0,280,145,0
สตาร์เกท,nation,0,0,0,0,0,0,0,0,0
สโตยเคีย,nation,0,0,0,0,0,0,242,228,0
สไปค์ บราเธอร์ส,clan,141,177,150,220,160,116,0,0,0
อควอฟอร์ซ,clan,164,290,180,157,105,156,0,0,0
เกรท เนเจอร์,clan,271,86,186,117,95,104,0,0,0
เกียร์โครนิเคิล,clan,0,0,177,255,121,245,0,195,0
เครย์เอเลเมนทัล,clan,0,0,69,112,0,161,0,0,0
เคเทอร์แซงค์ทัวรี,nation,0,0,0,0,0,0,228,244,0
เจเนซิส,clan,0,280,203,206,83,206,0,0,0
เนโอ เนคต้า,clan,326,290,230,173,180,113,0,0,0
เบอร์มิวด้า ไทรแองเกิล,clan,145,274,328,288,147,159,0,0,0
เพลมูน,clan,200,117,198,146,266,159,0,0,0
เมกาลานิก้า,nation,0,0,0,0,0,0,0,0,0
เมก้าโคโลนี่,clan,268,112,154,0,147,153,0,0,0
แกรนบลู,clan,176,163,142,152,150,115,0,0,0
แองเจิล ฟิทเธอร์,clan,245,222,191,125,103,133,0,0,0
โกลด์ พาลาดิน,clan,326,199,174,103,201,175,0,0,0
โนว่า เกรปเปอร์,clan,268,260,168,157,146,198,0,0,0
โอราเคิล ทิงค์ แทงค์,clan,242,108,136,157,223,72,0,0,0
ไดเมนชั่น โพลิส,clan,268,188,136,112,136,178,0,0,0
