preset,group,group_field,card_count,main_card_count,trigger_card_count,non_trigger_card_count,g_zone_card_count,main_capacity,trigger_capacity,non_trigger_capacity,g_zone_capacity,basic_50_card_main,main_with_16_triggers_34_non_triggers,ride_deck_grade_0_1_2_3_choice,g_zone_16,main_50_any_mix_digits,main_50_any_mix_scientific,main_50_exact_16_triggers_digits,main_50_exact_16_triggers_scientific,ride_deck_choices_exact,issues
full_runtime,BanG Dream!,clan,75,75,19,56,0,372,148,224,0,True,True,True,False,35,7.763e+34,34,5.727e+33,24000,
full_runtime,Unknown,unknown,176,157,104,53,0,583,374,209,0,True,True,True,False,48,8.690e+47,44,1.120e+43,360,
full_runtime,คาเงโร่,clan,436,414,68,346,22,1656,272,1384,88,True,True,True,True,68,3.994e+67,66,1.775e+65,33248442,
full_runtime,ชาโดว์ พาลาดิน,clan,439,413,63,350,26,1652,252,1400,104,True,True,True,True,68,3.562e+67,65,8.555e+64,32175360,
full_runtime,ซู,nation,2,0,0,0,2,0,0,0,8,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
full_runtime,ดราก้อนเอมไพร์,nation,264,262,32,230,2,1042,122,920,8,True,True,True,False,59,2.055e+58,55,7.377e+54,4617912,
full_runtime,ดาร์ค อิลเรกูลาร์ส,clan,281,260,46,214,21,1040,184,856,84,True,True,True,True,59,1.522e+58,57,1.367e+56,4255740,
full_runtime,ดาร์คสเตทส์,nation,254,254,31,223,0,1013,121,892,0,True,True,True,False,58,5.078e+57,55,2.031e+54,2722720,
full_runtime,ดาร์คโซน,nation,2,0,0,0,2,0,0,0,8,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
full_runtime,ทาจิคาเสะ,clan,225,208,44,164,17,832,176,656,68,True,True,True,True,54,5.951e+53,53,1.749e+52,1800064,
full_runtime,นารุคามิ,clan,388,369,53,316,19,1476,212,1264,76,True,True,True,True,66,1.763e+65,63,2.635e+62,25706520,
full_runtime,นุบาทามะ,clan,218,197,38,159,21,788,152,636,84,True,True,True,True,53,5.175e+52,51,8.883e+50,1301520,
full_runtime,บรันท์เกต,nation,243,241,32,209,0,961,125,836,0,True,True,True,False,57,4.587e+56,54,4.008e+53,2135936,
full_runtime,มาร์คเกอร์,nation,1,0,0,0,0,0,0,0,0,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
full_runtime,มุราคุโมะ,clan,242,223,42,181,19,892,168,724,76,True,True,True,True,56,1.384e+55,54,1.986e+53,2462400,
full_runtime,ยูไนเต็ทแซงทัวรี่,nation,2,0,0,0,2,0,0,0,8,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
full_runtime,รอยัล พาลาดิน,clan,556,521,73,448,35,2084,292,1792,140,True,True,True,True,73,2.228e+72,70,2.295e+69,86002800,
full_runtime,ลิงค์โจ๊กเกอร์,clan,466,432,66,366,34,1728,264,1464,136,True,True,True,True,69,2.993e+68,66,7.165e+65,40731117,
full_runtime,ลิริคัลโมนาสเทริโอ้,nation,360,360,56,304,0,1431,215,1216,0,True,True,True,False,65,5.291e+64,63,1.418e+62,12592500,
full_runtime,สตาร์เกท,nation,5,3,0,3,2,12,0,12,8,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
full_runtime,สโตยเคีย,nation,282,282,35,247,0,1125,137,988,0,True,True,True,False,60,6.257e+59,57,2.745e+56,4854861,
full_runtime,สไปค์ บราเธอร์ส,clan,207,190,36,154,17,760,144,616,68,True,True,True,True,53,1.024e+52,51,1.582e+50,1428840,
full_runtime,อควอฟอร์ซ,clan,362,340,57,283,22,1372,240,1132,88,True,True,True,True,64,3.805e+63,62,2.113e+61,14258160,
